Run Status: Accepted!
Program Runtime: 1024 milli secs
Progress: 168/168 test cases passed.
input	output	expected	
[6,3,5,8,7,12,11,9,4], 21	[[3,3,3,3,3,3,3],[3,3,3,4,4,4],[3,3,3,3,4,5],[4,4,4,4,5],[3,4,4,5,5],[3,3,5,5,5],[3,3,3,3,3,6],[3,4,4,4,6],[3,3,4,5,6],[5,5,5,6],[3,3,3,6,6],[4,5,6,6],[3,6,6,6],[3,3,4,4,7],[3,3,3,5,7],[4,5,5,7],[4,4,6,7],[3,5,6,7],[3,4,7,7],[7,7,7],[3,3,3,4,8],[4,4,5,8],[3,5,5,8],[3,4,6,8],[3,3,7,8],[6,7,8],[5,8,8],[3,3,3,3,9],[4,4,4,9],[3,4,5,9],[3,3,6,9],[6,6,9],[5,7,9],[4,8,9],[3,9,9],[3,3,4,11],[5,5,11],[4,6,11],[3,7,11],[3,3,3,12],[4,5,12],[3,6,12],[9,12]]	[[3,3,3,3,3,3,3],[3,3,3,4,4,4],[3,3,3,3,4,5],[4,4,4,4,5],[3,4,4,5,5],[3,3,5,5,5],[3,3,3,3,3,6],[3,4,4,4,6],[3,3,4,5,6],[5,5,5,6],[3,3,3,6,6],[4,5,6,6],[3,6,6,6],[3,3,4,4,7],[3,3,3,5,7],[4,5,5,7],[4,4,6,7],[3,5,6,7],[3,4,7,7],[7,7,7],[3,3,3,4,8],[4,4,5,8],[3,5,5,8],[3,4,6,8],[3,3,7,8],[6,7,8],[5,8,8],[3,3,3,3,9],[4,4,4,9],[3,4,5,9],[3,3,6,9],[6,6,9],[5,7,9],[4,8,9],[3,9,9],[3,3,4,11],[5,5,11],[4,6,11],[3,7,11],[3,3,3,12],[4,5,12],[3,6,12],[9,12]]	
   
[5,8,10,9,4], 17	[[4,4,4,5],[4,5,8],[4,4,9],[8,9]]	[[4,4,4,5],[4,5,8],[4,4,9],[8,9]]	
   
[7,5,8,6,9], 24	[[6,6,6,6],[5,6,6,7],[5,5,7,7],[5,5,6,8],[8,8,8],[5,5,5,9],[7,8,9],[6,9,9]]	[[6,6,6,6],[5,6,6,7],[5,5,7,7],[5,5,6,8],[8,8,8],[5,5,5,9],[7,8,9],[6,9,9]]	
   
[11,3,10,5,8,9], 19	[[3,3,3,5,5],[3,3,5,8],[3,8,8],[5,5,9],[3,3,3,10],[9,10],[3,5,11],[8,11]]	[[3,3,3,5,5],[3,3,5,8],[3,8,8],[5,5,9],[3,3,3,10],[9,10],[3,5,11],[8,11]]	
   
[7,6,10,11,4,5], 23	[[4,4,5,5,5],[4,4,4,5,6],[5,6,6,6],[4,4,4,4,7],[5,5,6,7],[4,6,6,7],[4,5,7,7],[4,4,5,10],[6,7,10],[4,4,4,11],[6,6,11],[5,7,11]]	[[4,4,5,5,5],[4,4,4,5,6],[5,6,6,6],[4,4,4,4,7],[5,5,6,7],[4,6,6,7],[4,5,7,7],[4,4,5,10],[6,7,10],[4,4,4,11],[6,6,11],[5,7,11]]	
   
[7,11,12,4,8,10,6], 32	[[4,4,4,4,4,4,4,4],[4,4,4,4,4,6,6],[4,4,6,6,6,6],[4,4,4,6,7,7],[6,6,6,7,7],[4,7,7,7,7],[4,4,4,4,4,4,8],[4,4,4,6,6,8],[6,6,6,6,8],[4,6,7,7,8],[4,4,4,4,8,8],[4,6,6,8,8],[4,4,8,8,8],[8,8,8,8],[4,4,4,4,6,10],[4,6,6,6,10],[4,4,7,7,10],[4,4,6,8,10],[7,7,8,10],[6,8,8,10],[4,4,4,10,10],[6,6,10,10],[4,8,10,10],[4,4,6,7,11],[7,7,7,11],[6,7,8,11],[4,7,10,11],[4,6,11,11],[10,11,11],[4,4,4,4,4,12],[4,4,6,6,12],[6,7,7,12],[4,4,4,8,12],[6,6,8,12],[4,8,8,12],[4,6,10,12],[10,10,12],[4,4,12,12],[8,12,12]]	[[4,4,4,4,4,4,4,4],[4,4,4,4,4,6,6],[4,4,6,6,6,6],[4,4,4,6,7,7],[6,6,6,7,7],[4,7,7,7,7],[4,4,4,4,4,4,8],[4,4,4,6,6,8],[6,6,6,6,8],[4,6,7,7,8],[4,4,4,4,8,8],[4,6,6,8,8],[4,4,8,8,8],[8,8,8,8],[4,4,4,4,6,10],[4,6,6,6,10],[4,4,7,7,10],[4,4,6,8,10],[7,7,8,10],[6,8,8,10],[4,4,4,10,10],[6,6,10,10],[4,8,10,10],[4,4,6,7,11],[7,7,7,11],[6,7,8,11],[4,7,10,11],[4,6,11,11],[10,11,11],[4,4,4,4,4,12],[4,4,6,6,12],[6,7,7,12],[4,4,4,8,12],[6,6,8,12],[4,8,8,12],[4,6,10,12],[10,10,12],[4,4,12,12],[8,12,12]]	
   
[6,3,10,8,4,5], 16	[[3,3,3,3,4],[4,4,4,4],[3,4,4,5],[3,3,5,5],[3,3,4,6],[5,5,6],[4,6,6],[4,4,8],[3,5,8],[8,8],[3,3,10],[6,10]]	[[3,3,3,3,4],[4,4,4,4],[3,4,4,5],[3,3,5,5],[3,3,4,6],[5,5,6],[4,6,6],[4,4,8],[3,5,8],[8,8],[3,3,10],[6,10]]	
   
[8,10,4,3,5], 18	[[3,3,3,3,3,3],[3,3,4,4,4],[3,3,3,4,5],[4,4,5,5],[3,5,5,5],[3,3,4,8],[5,5,8],[4,4,10],[3,5,10],[8,10]]	[[3,3,3,3,3,3],[3,3,4,4,4],[3,3,3,4,5],[4,4,5,5],[3,5,5,5],[3,3,4,8],[5,5,8],[4,4,10],[3,5,10],[8,10]]	
   
[11,5,12,3,10,8,9], 16	[[3,3,5,5],[3,5,8],[8,8],[3,3,10],[5,11]]	[[3,3,5,5],[3,5,8],[8,8],[3,3,10],[5,11]]	
   
[12,9,3,10,6,7,4], 19	[[3,3,3,3,3,4],[3,4,4,4,4],[3,3,3,4,6],[3,4,6,6],[3,3,3,3,7],[4,4,4,7],[3,3,6,7],[6,6,7],[3,3,4,9],[4,6,9],[3,7,9],[3,3,3,10],[3,6,10],[9,10],[3,4,12],[7,12]]	[[3,3,3,3,3,4],[3,4,4,4,4],[3,3,3,4,6],[3,4,6,6],[3,3,3,3,7],[4,4,4,7],[3,3,6,7],[6,6,7],[3,3,4,9],[4,6,9],[3,7,9],[3,3,3,10],[3,6,10],[9,10],[3,4,12],[7,12]]	
   
[3,6,5,4,11,10,9,12], 21	[[3,3,3,3,3,3,3],[3,3,3,4,4,4],[3,3,3,3,4,5],[4,4,4,4,5],[3,4,4,5,5],[3,3,5,5,5],[3,3,3,3,3,6],[3,4,4,4,6],[3,3,4,5,6],[5,5,5,6],[3,3,3,6,6],[4,5,6,6],[3,6,6,6],[3,3,3,3,9],[4,4,4,9],[3,4,5,9],[3,3,6,9],[6,6,9],[3,9,9],[3,4,4,10],[3,3,5,10],[5,6,10],[3,3,4,11],[5,5,11],[4,6,11],[10,11],[3,3,3,12],[4,5,12],[3,6,12],[9,12]]	[[3,3,3,3,3,3,3],[3,3,3,4,4,4],[3,3,3,3,4,5],[4,4,4,4,5],[3,4,4,5,5],[3,3,5,5,5],[3,3,3,3,3,6],[3,4,4,4,6],[3,3,4,5,6],[5,5,5,6],[3,3,3,6,6],[4,5,6,6],[3,6,6,6],[3,3,3,3,9],[4,4,4,9],[3,4,5,9],[3,3,6,9],[6,6,9],[3,9,9],[3,4,4,10],[3,3,5,10],[5,6,10],[3,3,4,11],[5,5,11],[4,6,11],[10,11],[3,3,3,12],[4,5,12],[3,6,12],[9,12]]	
   
[4,6,9,3,12], 16	[[3,3,3,3,4],[4,4,4,4],[3,3,4,6],[4,6,6],[3,4,9],[4,12]]	[[3,3,3,3,4],[4,4,4,4],[3,3,4,6],[4,6,6],[3,4,9],[4,12]]	
   
[12,11,9,8,4,6,7,5], 28	[[4,4,4,4,4,4,4],[4,4,5,5,5,5],[4,4,4,5,5,6],[4,4,4,4,6,6],[5,5,6,6,6],[4,6,6,6,6],[4,4,4,4,5,7],[5,5,5,6,7],[4,5,6,6,7],[4,5,5,7,7],[4,4,6,7,7],[7,7,7,7],[4,4,4,4,4,8],[5,5,5,5,8],[4,5,5,6,8],[4,4,6,6,8],[4,4,5,7,8],[6,7,7,8],[4,4,4,8,8],[6,6,8,8],[5,7,8,8],[4,8,8,8],[4,5,5,5,9],[4,4,5,6,9],[4,4,4,7,9],[6,6,7,9],[5,7,7,9],[5,6,8,9],[4,7,8,9],[5,5,9,9],[4,6,9,9],[4,4,4,5,11],[5,6,6,11],[5,5,7,11],[4,6,7,11],[4,5,8,11],[4,4,9,11],[8,9,11],[6,11,11],[4,4,4,4,12],[5,5,6,12],[4,6,6,12],[4,5,7,12],[4,4,8,12],[8,8,12],[7,9,12],[5,11,12],[4,12,12]]	[[4,4,4,4,4,4,4],[4,4,5,5,5,5],[4,4,4,5,5,6],[4,4,4,4,6,6],[5,5,6,6,6],[4,6,6,6,6],[4,4,4,4,5,7],[5,5,5,6,7],[4,5,6,6,7],[4,5,5,7,7],[4,4,6,7,7],[7,7,7,7],[4,4,4,4,4,8],[5,5,5,5,8],[4,5,5,6,8],[4,4,6,6,8],[4,4,5,7,8],[6,7,7,8],[4,4,4,8,8],[6,6,8,8],[5,7,8,8],[4,8,8,8],[4,5,5,5,9],[4,4,5,6,9],[4,4,4,7,9],[6,6,7,9],[5,7,7,9],[5,6,8,9],[4,7,8,9],[5,5,9,9],[4,6,9,9],[4,4,4,5,11],[5,6,6,11],[5,5,7,11],[4,6,7,11],[4,5,8,11],[4,4,9,11],[8,9,11],[6,11,11],[4,4,4,4,12],[5,5,6,12],[4,6,6,12],[4,5,7,12],[4,4,8,12],[8,8,12],[7,9,12],[5,11,12],[4,12,12]]	
   
[11,4,10,8,7,5,12], 17	[[4,4,4,5],[5,5,7],[4,5,8],[7,10],[5,12]]	[[4,4,4,5],[5,5,7],[4,5,8],[7,10],[5,12]]	
   
[9,8,7,4,10], 16	[[4,4,4,4],[4,4,8],[8,8],[7,9]]	[[4,4,4,4],[4,4,8],[8,8],[7,9]]	
   
[8,6,4,12,5,7,3,11], 28	[[3,3,3,3,3,3,3,3,4],[3,3,3,3,4,4,4,4],[4,4,4,4,4,4,4],[3,3,3,3,3,4,4,5],[3,4,4,4,4,4,5],[3,3,3,3,3,3,5,5],[3,3,4,4,4,5,5],[3,3,3,4,5,5,5],[4,4,5,5,5,5],[3,5,5,5,5,5],[3,3,3,3,3,3,4,6],[3,3,4,4,4,4,6],[3,3,3,4,4,5,6],[3,3,3,3,5,5,6],[4,4,4,5,5,6],[3,4,5,5,5,6],[3,3,3,3,4,6,6],[4,4,4,4,6,6],[3,4,4,5,6,6],[3,3,5,5,6,6],[3,3,4,6,6,6],[5,5,6,6,6],[4,6,6,6,6],[3,3,3,3,3,3,3,7],[3,3,3,4,4,4,7],[3,3,3,3,4,5,7],[4,4,4,4,5,7],[3,4,4,5,5,7],[3,3,5,5,5,7],[3,3,3,3,3,6,7],[3,4,4,4,6,7],[3,3,4,5,6,7],[5,5,5,6,7],[3,3,3,6,6,7],[4,5,6,6,7],[3,6,6,6,7],[3,3,4,4,7,7],[3,3,3,5,7,7],[4,5,5,7,7],[4,4,6,7,7],[3,5,6,7,7],[3,4,7,7,7],[7,7,7,7],[3,3,3,3,4,4,8],[4,4,4,4,4,8],[3,3,3,3,3,5,8],[3,4,4,4,5,8],[3,3,4,5,5,8],[5,5,5,5,8],[3,3,4,4,6,8],[3,3,3,5,6,8],[4,5,5,6,8],[4,4,6,6,8],[3,5,6,6,8],[3,3,3,4,7,8],[4,4,5,7,8],[3,5,5,7,8],[3,4,6,7,8],[3,3,7,7,8],[6,7,7,8],[3,3,3,3,8,8],[4,4,4,8,8],[3,4,5,8,8],[3,3,6,8,8],[6,6,8,8],[5,7,8,8],[4,8,8,8],[3,3,3,4,4,11],[3,3,3,3,5,11],[4,4,4,5,11],[3,4,5,5,11],[3,4,4,6,11],[3,3,5,6,11],[5,6,6,11],[3,3,4,7,11],[5,5,7,11],[4,6,7,11],[3,7,7,11],[3,3,3,8,11],[4,5,8,11],[3,6,8,11],[3,3,11,11],[6,11,11],[3,3,3,3,4,12],[4,4,4,4,12],[3,4,4,5,12],[3,3,5,5,12],[3,3,4,6,12],[5,5,6,12],[4,6,6,12],[3,3,3,7,12],[4,5,7,12],[3,6,7,12],[4,4,8,12],[3,5,8,12],[8,8,12],[5,11,12],[4,12,12]]	[[3,3,3,3,3,3,3,3,4],[3,3,3,3,4,4,4,4],[4,4,4,4,4,4,4],[3,3,3,3,3,4,4,5],[3,4,4,4,4,4,5],[3,3,3,3,3,3,5,5],[3,3,4,4,4,5,5],[3,3,3,4,5,5,5],[4,4,5,5,5,5],[3,5,5,5,5,5],[3,3,3,3,3,3,4,6],[3,3,4,4,4,4,6],[3,3,3,4,4,5,6],[3,3,3,3,5,5,6],[4,4,4,5,5,6],[3,4,5,5,5,6],[3,3,3,3,4,6,6],[4,4,4,4,6,6],[3,4,4,5,6,6],[3,3,5,5,6,6],[3,3,4,6,6,6],[5,5,6,6,6],[4,6,6,6,6],[3,3,3,3,3,3,3,7],[3,3,3,4,4,4,7],[3,3,3,3,4,5,7],[4,4,4,4,5,7],[3,4,4,5,5,7],[3,3,5,5,5,7],[3,3,3,3,3,6,7],[3,4,4,4,6,7],[3,3,4,5,6,7],[5,5,5,6,7],[3,3,3,6,6,7],[4,5,6,6,7],[3,6,6,6,7],[3,3,4,4,7,7],[3,3,3,5,7,7],[4,5,5,7,7],[4,4,6,7,7],[3,5,6,7,7],[3,4,7,7,7],[7,7,7,7],[3,3,3,3,4,4,8],[4,4,4,4,4,8],[3,3,3,3,3,5,8],[3,4,4,4,5,8],[3,3,4,5,5,8],[5,5,5,5,8],[3,3,4,4,6,8],[3,3,3,5,6,8],[4,5,5,6,8],[4,4,6,6,8],[3,5,6,6,8],[3,3,3,4,7,8],[4,4,5,7,8],[3,5,5,7,8],[3,4,6,7,8],[3,3,7,7,8],[6,7,7,8],[3,3,3,3,8,8],[4,4,4,8,8],[3,4,5,8,8],[3,3,6,8,8],[6,6,8,8],[5,7,8,8],[4,8,8,8],[3,3,3,4,4,11],[3,3,3,3,5,11],[4,4,4,5,11],[3,4,5,5,11],[3,4,4,6,11],[3,3,5,6,11],[5,6,6,11],[3,3,4,7,11],[5,5,7,11],[4,6,7,11],[3,7,7,11],[3,3,3,8,11],[4,5,8,11],[3,6,8,11],[3,3,11,11],[6,11,11],[3,3,3,3,4,12],[4,4,4,4,12],[3,4,4,5,12],[3,3,5,5,12],[3,3,4,6,12],[5,5,6,12],[4,6,6,12],[3,3,3,7,12],[4,5,7,12],[3,6,7,12],[4,4,8,12],[3,5,8,12],[8,8,12],[5,11,12],[4,12,12]]	
   
[11,8,4,3,12,5], 31	[[3,3,3,3,3,3,3,3,3,4],[3,3,3,3,3,4,4,4,4],[3,4,4,4,4,4,4,4],[3,3,3,3,3,3,4,4,5],[3,3,4,4,4,4,4,5],[3,3,3,3,3,3,3,5,5],[3,3,3,4,4,4,5,5],[3,3,3,3,4,5,5,5],[4,4,4,4,5,5,5],[3,4,4,5,5,5,5],[3,3,5,5,5,5,5],[3,3,3,3,3,4,4,8],[3,4,4,4,4,4,8],[3,3,3,3,3,3,5,8],[3,3,4,4,4,5,8],[3,3,3,4,5,5,8],[4,4,5,5,5,8],[3,5,5,5,5,8],[3,3,3,3,3,8,8],[3,4,4,4,8,8],[3,3,4,5,8,8],[5,5,5,8,8],[3,4,8,8,8],[3,3,3,3,4,4,11],[4,4,4,4,4,11],[3,3,3,3,3,5,11],[3,4,4,4,5,11],[3,3,4,5,5,11],[5,5,5,5,11],[3,3,3,3,8,11],[4,4,4,8,11],[3,4,5,8,11],[4,8,8,11],[3,3,3,11,11],[4,5,11,11],[3,3,3,3,3,4,12],[3,4,4,4,4,12],[3,3,4,4,5,12],[3,3,3,5,5,12],[4,5,5,5,12],[3,4,4,8,12],[3,3,5,8,12],[3,8,8,12],[4,4,11,12],[3,5,11,12],[8,11,12],[3,4,12,12]]	[[3,3,3,3,3,3,3,3,3,4],[3,3,3,3,3,4,4,4,4],[3,4,4,4,4,4,4,4],[3,3,3,3,3,3,4,4,5],[3,3,4,4,4,4,4,5],[3,3,3,3,3,3,3,5,5],[3,3,3,4,4,4,5,5],[3,3,3,3,4,5,5,5],[4,4,4,4,5,5,5],[3,4,4,5,5,5,5],[3,3,5,5,5,5,5],[3,3,3,3,3,4,4,8],[3,4,4,4,4,4,8],[3,3,3,3,3,3,5,8],[3,3,4,4,4,5,8],[3,3,3,4,5,5,8],[4,4,5,5,5,8],[3,5,5,5,5,8],[3,3,3,3,3,8,8],[3,4,4,4,8,8],[3,3,4,5,8,8],[5,5,5,8,8],[3,4,8,8,8],[3,3,3,3,4,4,11],[4,4,4,4,4,11],[3,3,3,3,3,5,11],[3,4,4,4,5,11],[3,3,4,5,5,11],[5,5,5,5,11],[3,3,3,3,8,11],[4,4,4,8,11],[3,4,5,8,11],[4,8,8,11],[3,3,3,11,11],[4,5,11,11],[3,3,3,3,3,4,12],[3,4,4,4,4,12],[3,3,4,4,5,12],[3,3,3,5,5,12],[4,5,5,5,12],[3,4,4,8,12],[3,3,5,8,12],[3,8,8,12],[4,4,11,12],[3,5,11,12],[8,11,12],[3,4,12,12]]	
   
[11,10,5,7,8,12,3], 29	[[3,3,3,3,3,3,3,3,5],[3,3,3,5,5,5,5],[3,3,3,3,5,5,7],[3,3,3,3,3,7,7],[5,5,5,7,7],[3,5,7,7,7],[3,3,3,3,3,3,3,8],[3,3,5,5,5,8],[3,3,3,5,7,8],[7,7,7,8],[3,5,5,8,8],[3,3,7,8,8],[5,8,8,8],[3,3,3,5,5,10],[3,3,3,3,7,10],[5,7,7,10],[3,3,5,8,10],[3,8,8,10],[3,3,3,10,10],[3,3,3,3,3,3,11],[3,5,5,5,11],[3,3,5,7,11],[5,5,8,11],[3,7,8,11],[3,5,10,11],[8,10,11],[7,11,11],[3,3,3,3,5,12],[5,5,7,12],[3,7,7,12],[3,3,3,8,12],[7,10,12],[3,3,11,12],[5,12,12]]	[[3,3,3,3,3,3,3,3,5],[3,3,3,5,5,5,5],[3,3,3,3,5,5,7],[3,3,3,3,3,7,7],[5,5,5,7,7],[3,5,7,7,7],[3,3,3,3,3,3,3,8],[3,3,5,5,5,8],[3,3,3,5,7,8],[7,7,7,8],[3,5,5,8,8],[3,3,7,8,8],[5,8,8,8],[3,3,3,5,5,10],[3,3,3,3,7,10],[5,7,7,10],[3,3,5,8,10],[3,8,8,10],[3,3,3,10,10],[3,3,3,3,3,3,11],[3,5,5,5,11],[3,3,5,7,11],[5,5,8,11],[3,7,8,11],[3,5,10,11],[8,10,11],[7,11,11],[3,3,3,3,5,12],[5,5,7,12],[3,7,7,12],[3,3,3,8,12],[7,10,12],[3,3,11,12],[5,12,12]]	
   
[9,10,7,6,5], 13	[[6,7]]	[[6,7]]	
   
[8,10,6,3,4,12,11,5,9], 28	[[3,3,3,3,3,3,3,3,4],[3,3,3,3,4,4,4,4],[4,4,4,4,4,4,4],[3,3,3,3,3,4,4,5],[3,4,4,4,4,4,5],[3,3,3,3,3,3,5,5],[3,3,4,4,4,5,5],[3,3,3,4,5,5,5],[4,4,5,5,5,5],[3,5,5,5,5,5],[3,3,3,3,3,3,4,6],[3,3,4,4,4,4,6],[3,3,3,4,4,5,6],[3,3,3,3,5,5,6],[4,4,4,5,5,6],[3,4,5,5,5,6],[3,3,3,3,4,6,6],[4,4,4,4,6,6],[3,4,4,5,6,6],[3,3,5,5,6,6],[3,3,4,6,6,6],[5,5,6,6,6],[4,6,6,6,6],[3,3,3,3,4,4,8],[4,4,4,4,4,8],[3,3,3,3,3,5,8],[3,4,4,4,5,8],[3,3,4,5,5,8],[5,5,5,5,8],[3,3,4,4,6,8],[3,3,3,5,6,8],[4,5,5,6,8],[4,4,6,6,8],[3,5,6,6,8],[3,3,3,3,8,8],[4,4,4,8,8],[3,4,5,8,8],[3,3,6,8,8],[6,6,8,8],[4,8,8,8],[3,3,3,3,3,4,9],[3,4,4,4,4,9],[3,3,4,4,5,9],[3,3,3,5,5,9],[4,5,5,5,9],[3,3,3,4,6,9],[4,4,5,6,9],[3,5,5,6,9],[3,4,6,6,9],[3,4,4,8,9],[3,3,5,8,9],[5,6,8,9],[3,8,8,9],[3,3,4,9,9],[5,5,9,9],[4,6,9,9],[3,3,3,3,3,3,10],[3,3,4,4,4,10],[3,3,3,4,5,10],[4,4,5,5,10],[3,5,5,5,10],[3,3,3,3,6,10],[4,4,4,6,10],[3,4,5,6,10],[3,3,6,6,10],[6,6,6,10],[3,3,4,8,10],[5,5,8,10],[4,6,8,10],[3,3,3,9,10],[4,5,9,10],[3,6,9,10],[9,9,10],[4,4,10,10],[3,5,10,10],[8,10,10],[3,3,3,4,4,11],[3,3,3,3,5,11],[4,4,4,5,11],[3,4,5,5,11],[3,4,4,6,11],[3,3,5,6,11],[5,6,6,11],[3,3,3,8,11],[4,5,8,11],[3,6,8,11],[4,4,9,11],[3,5,9,11],[8,9,11],[3,4,10,11],[3,3,11,11],[6,11,11],[3,3,3,3,4,12],[4,4,4,4,12],[3,4,4,5,12],[3,3,5,5,12],[3,3,4,6,12],[5,5,6,12],[4,6,6,12],[4,4,8,12],[3,5,8,12],[8,8,12],[3,4,9,12],[3,3,10,12],[6,10,12],[5,11,12],[4,12,12]]	[[3,3,3,3,3,3,3,3,4],[3,3,3,3,4,4,4,4],[4,4,4,4,4,4,4],[3,3,3,3,3,4,4,5],[3,4,4,4,4,4,5],[3,3,3,3,3,3,5,5],[3,3,4,4,4,5,5],[3,3,3,4,5,5,5],[4,4,5,5,5,5],[3,5,5,5,5,5],[3,3,3,3,3,3,4,6],[3,3,4,4,4,4,6],[3,3,3,4,4,5,6],[3,3,3,3,5,5,6],[4,4,4,5,5,6],[3,4,5,5,5,6],[3,3,3,3,4,6,6],[4,4,4,4,6,6],[3,4,4,5,6,6],[3,3,5,5,6,6],[3,3,4,6,6,6],[5,5,6,6,6],[4,6,6,6,6],[3,3,3,3,4,4,8],[4,4,4,4,4,8],[3,3,3,3,3,5,8],[3,4,4,4,5,8],[3,3,4,5,5,8],[5,5,5,5,8],[3,3,4,4,6,8],[3,3,3,5,6,8],[4,5,5,6,8],[4,4,6,6,8],[3,5,6,6,8],[3,3,3,3,8,8],[4,4,4,8,8],[3,4,5,8,8],[3,3,6,8,8],[6,6,8,8],[4,8,8,8],[3,3,3,3,3,4,9],[3,4,4,4,4,9],[3,3,4,4,5,9],[3,3,3,5,5,9],[4,5,5,5,9],[3,3,3,4,6,9],[4,4,5,6,9],[3,5,5,6,9],[3,4,6,6,9],[3,4,4,8,9],[3,3,5,8,9],[5,6,8,9],[3,8,8,9],[3,3,4,9,9],[5,5,9,9],[4,6,9,9],[3,3,3,3,3,3,10],[3,3,4,4,4,10],[3,3,3,4,5,10],[4,4,5,5,10],[3,5,5,5,10],[3,3,3,3,6,10],[4,4,4,6,10],[3,4,5,6,10],[3,3,6,6,10],[6,6,6,10],[3,3,4,8,10],[5,5,8,10],[4,6,8,10],[3,3,3,9,10],[4,5,9,10],[3,6,9,10],[9,9,10],[4,4,10,10],[3,5,10,10],[8,10,10],[3,3,3,4,4,11],[3,3,3,3,5,11],[4,4,4,5,11],[3,4,5,5,11],[3,4,4,6,11],[3,3,5,6,11],[5,6,6,11],[3,3,3,8,11],[4,5,8,11],[3,6,8,11],[4,4,9,11],[3,5,9,11],[8,9,11],[3,4,10,11],[3,3,11,11],[6,11,11],[3,3,3,3,4,12],[4,4,4,4,12],[3,4,4,5,12],[3,3,5,5,12],[3,3,4,6,12],[5,5,6,12],[4,6,6,12],[4,4,8,12],[3,5,8,12],[8,8,12],[3,4,9,12],[3,3,10,12],[6,10,12],[5,11,12],[4,12,12]]	
   
[8,7,3,11,4,12], 26	[[3,3,3,3,3,3,4,4],[3,3,4,4,4,4,4],[3,3,3,3,3,4,7],[3,4,4,4,4,7],[3,3,3,3,7,7],[4,4,4,7,7],[3,3,3,3,3,3,8],[3,3,4,4,4,8],[3,4,4,7,8],[4,7,7,8],[3,3,4,8,8],[3,7,8,8],[3,3,3,3,3,11],[3,4,4,4,11],[4,4,7,11],[3,4,8,11],[7,8,11],[4,11,11],[3,3,4,4,12],[3,4,7,12],[7,7,12],[3,3,8,12],[3,11,12]]	[[3,3,3,3,3,3,4,4],[3,3,4,4,4,4,4],[3,3,3,3,3,4,7],[3,4,4,4,4,7],[3,3,3,3,7,7],[4,4,4,7,7],[3,3,3,3,3,3,8],[3,3,4,4,4,8],[3,4,4,7,8],[4,7,7,8],[3,3,4,8,8],[3,7,8,8],[3,3,3,3,3,11],[3,4,4,4,11],[4,4,7,11],[3,4,8,11],[7,8,11],[4,11,11],[3,3,4,4,12],[3,4,7,12],[7,7,12],[3,3,8,12],[3,11,12]]	
   
[8,4,9,6,7], 25	[[4,4,4,6,7],[6,6,6,7],[4,7,7,7],[4,6,7,8],[4,4,4,4,9],[4,6,6,9],[4,4,8,9],[8,8,9],[7,9,9]]	[[4,4,4,6,7],[6,6,6,7],[4,7,7,7],[4,6,7,8],[4,4,4,4,9],[4,6,6,9],[4,4,8,9],[8,8,9],[7,9,9]]	
   
